caseid_new,w1_weight_combo,w2_attrition_adj_weights,w3_attrition_adj_weight,w2_surveyed,w3_surveyed,w1_ppage,w1_ppeduc,w1_ppincimp,w1_ppgender,w1_ppethm,w1_ppreg9,w1_ppwork,w1_partnership_status,w1_q19,w1_married,w1_same_sex_couple,w1_relate_duration_in2017_years,w1_q34,w1_q24_met_online,w1_q24_met_through_friend,w1_q24_met_through_family,w1_q24_met_as_through_cowork,w1_q24_school,w1_q24_college,w1_q24_church,w1_q24_bar_restaurant,w1_q24_party,w1_q32,w3_partner_type,w3_live_w_partner,w3_relationship_end_combo,w3_partner_source,w3_breakup_source,w3_relationship_duration_yrs
220655.0,0.45614737272262573,0.30382534861564636,0.4070549011230469,yes,yes,43.0,Associate degree,"$25,000 to $29,999",Male,"2+ Races, Non-Hispanic",West-South Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,16.41666603088379,Fair,no,no,no,yes,no,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,21.08333396911621
291177.0,1.1310962438583374,0.7699441909790039,0.9713047742843628,yes,yes,57.0,"Some college, no degree","$30,000 to $34,999",Female,"White, Non-Hispanic",East-North Central,Working - as a paid employee,"partnered, not married",No,no,NOT same-sex souple,3.4166667461395264,Good,no,yes,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",in unmarried partnership,no,no report of breakup or partner death,2017 wave,,8.083333015441895
328443.0,0.37846437096595764,,,no,no,50.0,Bachelors degree,"$125,000 to $149,999",Female,"2+ Races, Non-Hispanic",East-North Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,33.41666793823242,Excellent,no,no,no,yes,yes,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
369975.0,1.4581111669540405,1.9137104749679565,1.8905317783355713,yes,yes,54.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$40,000 to $49,999",Female,"Black, Non-Hispanic",South Atlantic,Not working - looking for work,married,Yes,yes,NOT same-sex souple,29.83333396911621,Good,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,34.5
428211.0,1.71388840675354,1.6865205764770508,2.038987636566162,yes,yes,61.0,"Some college, no degree","$85,000 to $99,999",Female,"Other, Non-Hispanic",Pacific,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,28.91666603088379,Good,no,no,yes,yes,no,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,33.58333206176758
444471.0,0.9717725515365601,0.7039442658424377,0.45032617449760437,yes,yes,79.0,Associate degree,"$150,000 to $174,999",Male,"White, Non-Hispanic",New England,Working - as a paid employee,"unpartnered, has had past partner",,no,NOT same-sex souple,,,no,no,yes,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",unpartnered,,no report of breakup or partner death,,,
497203.0,1.0101052522659302,0.45643773674964905,0.3476110100746155,yes,yes,59.0,Associate degree,"$85,000 to $99,999",Male,"White, Non-Hispanic",East-North Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,26.75,Good,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,31.5
498705.0,1.0612154006958008,,,no,no,58.0,"Some college, no degree","$150,000 to $174,999",Female,"White, Non-Hispanic",Pacific,Working - self-employed,married,Yes,yes,NOT same-sex souple,28.0,Excellent,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
504041.0,0.9404506087303162,0.7083847522735596,0.9195324182510376,yes,yes,64.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$25,000 to $29,999",Female,"White, Non-Hispanic",Mountain,Working - as a paid employee,"unpartnered, has had past partner",,no,NOT same-sex souple,,,no,no,no,no,no,no,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",unpartnered,,no report of breakup or partner death,,,
507747.0,1.0976258516311646,0.8750550746917725,,yes,no,59.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999",Female,"White, Non-Hispanic",Mid-Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,35.91666793823242,Excellent,no,no,yes,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
516823.0,0.8472762107849121,0.6745592355728149,0.7452540397644043,yes,yes,81.0,"Some college, no degree","$50,000 to $59,999",Female,"White, Non-Hispanic",Mountain,Not working - retired,married,Yes,yes,NOT same-sex souple,62.91666793823242,Excellent,no,yes,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,67.58333587646484
519265.0,1.0453848838806152,,,no,no,46.0,Masters degree,"$175,000 to $199,999",Female,"White, Non-Hispanic",Mid-Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,24.5,Excellent,no,yes,yes,no,no,no,no,yes,yes,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
582849.0,1.0729752779006958,1.1625362634658813,1.1052442789077759,yes,yes,43.0,Bachelors degree,"$125,000 to $149,999",Female,"White, Non-Hispanic",South Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,24.41666603088379,Good,no,no,no,no,no,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,29.08333396911621
585169.0,1.0188120603561401,0.8371280431747437,0.8749175071716309,yes,yes,70.0,"Some college, no degree","$35,000 to $39,999",Female,"White, Non-Hispanic",Mid-Atlantic,Not working - retired,married,Yes,yes,NOT same-sex souple,47.08333206176758,Excellent,no,no,yes,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2022 wave,,52.75
587121.0,0.8666121363639832,0.9110411405563354,0.6611392498016357,yes,yes,80.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$100,000 to $124,999",Male,"White, Non-Hispanic",South Atlantic,Not working - retired,married,No,yes,NOT same-sex souple,10.333333015441895,Excellent,no,no,yes,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",unpartnered,,no report of breakup or partner death,,,
587125.0,0.8866265416145325,0.5487209558486938,0.50258868932724,yes,yes,53.0,Masters degree,"$60,000 to $74,999",Female,"White, Non-Hispanic",West-South Central,Not working - other,married,Yes,yes,NOT same-sex souple,17.75,Good,no,no,no,no,no,no,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,22.41666603088379
589881.0,0.8071343898773193,0.5407548546791077,0.3813421428203583,yes,yes,51.0,Bachelors degree,"$100,000 to $124,999",Male,"White, Non-Hispanic",Mid-Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,,Excellent,no,no,no,no,yes,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,
605501.0,1.0535262823104858,0.9634376764297485,0.9522233605384827,yes,yes,74.0,10th grade,"$12,500 to $14,999",Female,"White, Non-Hispanic",Pacific,Not working - retired,"unpartnered, has had past partner",,no,NOT same-sex souple,,,no,yes,no,no,no,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",unpartnered,,no report of breakup or partner death,,,
606657.0,1.033172607421875,0.724546492099762,0.7799047827720642,yes,yes,46.0,Professional or Doctorate degree,"$85,000 to $99,999",Female,"White, Non-Hispanic",South Atlantic,Working - self-employed,"partnered, not married",No,no,NOT same-sex souple,1.6666666269302368,Good,yes,no,no,no,no,no,no,yes,no,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",in unmarried partnership,no,Separated/ Broke up,2022 wave,2017 wave,0.5833333134651184
606929.0,0.9880554676055908,,,no,no,56.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999",Female,"White, Non-Hispanic",Pacific,Working - self-employed,married,Yes,yes,NOT same-sex souple,38.91666793823242,Excellent,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
608697.0,0.8789374232292175,0.8049988746643066,0.6501043438911438,yes,yes,40.0,Masters degree,"$125,000 to $149,999",Male,"White, Non-Hispanic",Mountain,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,18.08333396911621,Fair,no,no,no,yes,no,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,22.75
616029.0,1.2102491855621338,,1.1696830987930298,no,yes,36.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$50,000 to $59,999",Female,"White, Non-Hispanic",South Atlantic,Not working - other,married,Yes,yes,NOT same-sex souple,10.916666984558105,Good,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,15.583333015441895
616985.0,0.9206623435020447,0.7055037617683411,,yes,no,56.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$40,000 to $49,999",Male,"White, Non-Hispanic",South Atlantic,Working - as a paid employee,"partnered, not married",Yes,no,NOT same-sex souple,35.83333206176758,Good,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
620797.0,2.370292901992798,4.304025173187256,4.162097454071045,yes,yes,22.0,"Some college, no degree","$175,000 to $199,999",Male,"Other, Non-Hispanic",Mid-Atlantic,Not working - other,"unpartnered, has had past partner",,no,NOT same-sex souple,,,no,no,no,no,no,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",unpartnered,,no report of breakup or partner death,,,
621425.0,0.41069096326828003,,,no,no,47.0,"Some college, no degree","$200,000 to $249,999",Male,"2+ Races, Non-Hispanic",Mid-Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,24.08333396911621,Excellent,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
621641.0,0.9661187529563904,0.6784199476242065,0.6661431193351746,yes,yes,61.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$100,000 to $124,999",Female,"White, Non-Hispanic",West-North Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,28.83333396911621,Excellent,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,33.5
623465.0,0.21576997637748718,,0.10864391177892685,no,yes,46.0,Bachelors degree,"$85,000 to $99,999",Female,"White, Non-Hispanic",West-South Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,23.66666603088379,Excellent,no,no,no,no,no,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,28.41666603088379
623813.0,0.7493526935577393,,,no,no,78.0,Professional or Doctorate degree,"$100,000 to $124,999",Male,"White, Non-Hispanic",West-South Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,28.08333396911621,Good,no,no,no,no,no,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
626591.0,0.9584296345710754,0.7657113075256348,,yes,no,64.0,Bachelors degree,"$250,000 or more",Male,"White, Non-Hispanic",South Atlantic,Working - self-employed,married,Yes,yes,NOT same-sex souple,26.5,Excellent,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
627633.0,1.2088923454284668,,,no,no,55.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$175,000 to $199,999",Female,"White, Non-Hispanic",Mid-Atlantic,Working - self-employed,married,Yes,yes,NOT same-sex souple,34.33333206176758,Excellent,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
629075.0,1.0127060413360596,,,no,no,50.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$50,000 to $59,999",Male,"White, Non-Hispanic",South Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,31.16666603088379,Good,no,no,yes,no,no,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
632159.0,0.8100743293762207,0.6306949257850647,0.531938374042511,yes,yes,50.0,Professional or Doctorate degree,"$250,000 or more",Male,"White, Non-Hispanic",West-South Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,2.75,Very Poor,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,no,Separated/ Broke up,2022 wave,2022 wave,27.41666603088379
632253.0,1.0648338794708252,0.9198600649833679,0.6576403379440308,yes,yes,39.0,Associate degree,"$150,000 to $174,999",Male,"White, Non-Hispanic",Pacific,Not working - looking for work,married,Yes,yes,NOT same-sex souple,5.833333492279053,Excellent,no,yes,no,no,no,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,10.583333015441895
634833.0,0.9121816754341125,0.8948348164558411,0.644149899482727,yes,yes,36.0,Masters degree,"$100,000 to $124,999",Male,"White, Non-Hispanic",South Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,5.666666507720947,Excellent,no,no,no,no,no,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,10.333333015441895
637531.0,1.284540057182312,1.641274094581604,1.9772435426712036,yes,yes,43.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$150,000 to $174,999",Female,"White, Non-Hispanic",Pacific,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,19.58333396911621,Good,no,yes,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,24.25
639753.0,0.9855677485466003,,0.6296226382255554,no,yes,54.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$25,000 to $29,999",Male,"White, Non-Hispanic",Mid-Atlantic,Not working - disabled,"unpartnered, has had past partner",,no,NOT same-sex souple,,,yes,no,no,no,no,no,no,no,no,"Yes, an Internet chat room",unpartnered,,no report of breakup or partner death,,,
643423.0,1.0244659185409546,0.5881105661392212,0.5616833567619324,yes,yes,67.0,"Some college, no degree","$75,000 to $84,999",Female,"White, Non-Hispanic",South Atlantic,Not working - retired,married,Yes,yes,NOT same-sex souple,52.66666793823242,Excellent,no,yes,no,no,yes,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,57.33333206176758
643505.0,1.4861538410186768,1.2784303426742554,1.4925868511199951,yes,yes,59.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999",Female,Hispanic,East-North Central,Not working - retired,married,Yes,yes,NOT same-sex souple,39.5,Excellent,no,no,yes,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,44.16666793823242
645963.0,1.089823603630066,1.6160601377487183,0.8567480444908142,yes,yes,25.0,Bachelors degree,"$175,000 to $199,999",Male,"White, Non-Hispanic",Pacific,Working - as a paid employee,"unpartnered, has had past partner",,no,NOT same-sex souple,,,yes,no,no,no,no,no,no,no,no,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",unpartnered,,no report of breakup or partner death,,,
646023.0,1.041540265083313,0.7970778346061707,0.9495469331741333,yes,yes,68.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$75,000 to $84,999",Female,"White, Non-Hispanic",West-North Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,49.08333206176758,Excellent,no,yes,no,no,no,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,53.75
646157.0,0.9090155363082886,0.9398373961448669,0.5439673662185669,yes,yes,55.0,Masters degree,"$125,000 to $149,999",Female,"White, Non-Hispanic",West-South Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,6.416666507720947,Excellent,yes,no,no,no,no,no,no,no,no,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",married,yes,no report of breakup or partner death,2017 wave,,11.083333015441895
648619.0,1.3549860715866089,1.3459630012512207,1.399314045906067,yes,yes,46.0,Masters degree,"$250,000 or more",Male,"Other, Non-Hispanic",Pacific,Working - as a paid employee,"partnered, not married",Yes,no,NOT same-sex souple,19.16666603088379,Excellent,no,no,no,no,no,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",in unmarried partnership,no,Separated/ Broke up,2022 wave,2017 wave,50.25
648669.0,1.041540265083313,0.6078540682792664,0.5273409485816956,yes,yes,61.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$75,000 to $84,999",Female,"White, Non-Hispanic",West-North Central,Not working - other,married,Yes,yes,NOT same-sex souple,36.58333206176758,Good,no,yes,no,no,no,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,41.25
650237.0,1.172142744064331,1.0317354202270508,0.9281942248344421,yes,yes,65.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999",Male,Hispanic,East-South Central,Not working - retired,married,Yes,yes,NOT same-sex souple,,Excellent,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,
651259.0,1.1213717460632324,1.0099583864212036,0.8461664319038391,yes,yes,38.0,Bachelors degree,"$100,000 to $124,999",Female,"White, Non-Hispanic",West-North Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,13.333333015441895,Good,no,yes,no,no,no,no,yes,yes,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,18.0
651349.0,0.8049858808517456,0.37030237913131714,0.34802764654159546,yes,yes,61.0,Professional or Doctorate degree,"$150,000 to $174,999",Male,"White, Non-Hispanic",West-South Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,34.75,Excellent,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,39.41666793823242
652049.0,1.4140115976333618,1.9155153036117554,,yes,no,24.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999",Male,"White, Non-Hispanic",South Atlantic,Working - as a paid employee,never had a partner,,,,,,,,,,,,,,,,not in wave 3,,,,,
653633.0,0.820703387260437,0.3764949142932892,0.3075389862060547,yes,yes,66.0,Bachelors degree,"$75,000 to $84,999",Male,"White, Non-Hispanic",Pacific,Working - self-employed,married,Yes,yes,NOT same-sex souple,45.33333206176758,Excellent,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,50.0
654043.0,1.375226616859436,1.586853265762329,,yes,no,35.0,"Some college, no degree","$75,000 to $84,999",Female,"White, Non-Hispanic",South Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,14.666666984558105,Excellent,yes,no,no,no,no,no,no,no,no,"Yes, a different kind of Internet service",not in wave 3,,,,,
654589.0,0.34216707944869995,0.20354734361171722,0.24694499373435974,yes,yes,64.0,Bachelors degree,"$60,000 to $74,999",Female,"2+ Races, Non-Hispanic",East-North Central,Working - self-employed,married,Yes,yes,NOT same-sex souple,39.91666793823242,Fair,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,44.66666793823242
654967.0,1.0751237869262695,1.0950052738189697,,yes,no,26.0,Associate degree,"$40,000 to $49,999",Female,"White, Non-Hispanic",Pacific,Not working - other,married,No,yes,NOT same-sex souple,9.166666984558105,Very Poor,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
657869.0,0.9077717065811157,0.44441619515419006,0.422381192445755,yes,yes,60.0,Associate degree,"$150,000 to $174,999",Male,"White, Non-Hispanic",South Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,42.58333206176758,Excellent,no,no,no,yes,no,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,47.25
659217.0,1.5052636861801147,1.000961184501648,,yes,no,59.0,Bachelors degree,"$175,000 to $199,999",Male,"Other, Non-Hispanic",New England,Not working - looking for work,married,Yes,yes,NOT same-sex souple,31.83333396911621,Excellent,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
659879.0,1.0465155839920044,,,no,no,43.0,"Some college, no degree","$30,000 to $34,999",Male,"White, Non-Hispanic",Pacific,Working - self-employed,"partnered, not married",Yes,no,NOT same-sex souple,23.0,Good,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
662355.0,0.22103795409202576,0.14604632556438446,0.25118643045425415,yes,yes,71.0,Masters degree,"$100,000 to $124,999",Female,"White, Non-Hispanic",South Atlantic,Working - self-employed,married,Yes,yes,NOT same-sex souple,38.16666793823242,Good,no,no,no,no,no,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,42.83333206176758
663969.0,1.606353521347046,1.6241258382797241,1.822615146636963,yes,yes,27.0,Bachelors degree,"$50,000 to $59,999",Male,"Black, Non-Hispanic",East-South Central,Working - as a paid employee,"unpartnered, has had past partner",,no,NOT same-sex souple,,,no,yes,no,no,no,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",unpartnered,,Separated/ Broke up,,2020 wave,
692169.0,0.9930307865142822,,0.8904862403869629,no,yes,60.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$150,000 to $174,999",Female,"White, Non-Hispanic",South Atlantic,Working - self-employed,married,Yes,yes,NOT same-sex souple,40.25,Excellent,no,no,yes,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,45.0
694037.0,1.4002163410186768,,,no,no,29.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$150,000 to $174,999",Male,"White, Non-Hispanic",Mid-Atlantic,Working - as a paid employee,"unpartnered, has had past partner",,no,NOT same-sex souple,,,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
694725.0,0.9731294512748718,0.6293272972106934,0.550832211971283,yes,yes,56.0,Bachelors degree,"$125,000 to $149,999",Female,"White, Non-Hispanic",New England,Not working - looking for work,married,Yes,yes,NOT same-sex souple,11.5,Excellent,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",in unmarried partnership,no,Separated/ Broke up,2022 wave,2020 wave,0.3333333432674408
